"Item Code","ItemStatus","Description","Size","Age","Proof","Bottles Per Case","Unit Price","Effective Date"

"0101B",,"IRISHMAN CREAM LIQUEUR","750 ML",,34,12,10.00,04/01/2019
"0102B",,"GLENFIDDICH SNOW PHOENIX","750 ML",,95,6,92.95,04/01/2019
"0103B",,"BALVENIE CARIBBEAN CASK 14YR SINGLE MALT","750 ML","14 YRS",86,6,76.95,04/01/2019
"0104D",,"CANADIAN CLUB HOLIDAY TRIAL PK","200 ML",,80,30,2.00,04/01/2019
"0105B",,"DECO COFFEE RUM","750 ML",,80,12,7.00,04/01/2019
"0105F",,"DECO COFFEE RUM","50 ML",,80,96,0.50,04/01/2019
"0106B",,"THREE OLIVES DUDE VODKA","750 ML",,70,12,3.00,04/01/2019
"0107B",,"STONE BARN CRANBERRY LIQUEUR","750 ML",,40,12,35.00,04/01/2019
"0107E",,"STONE BARN CRANBERRY LIQUEUR","375 ML",,40,12,25.00,04/01/2019
"0108B",,"WEBFOOT VODKA","750 ML",,80,12,19.95,04/01/2019
"0108E",,"WEBFOOT VODKA","375 ML",,80,12,11.95,04/01/2019
"0109B",,"SLAPTAIL VODKA","750 ML",,80,12,19.95,04/01/2019
"0109E",,"SLAPTAIL VODKA","375 ML",,80,12,11.95,04/01/2019
"0111B",,"QUINTA DE GOMEZ REPOSADO ORGANIC","750 ML",,80,12,10.00,04/01/2019
"0112B",,"QUINTA DE GOMEZ BLANCO ORGANIC","750 ML",,80,12,15.00,04/01/2019
"0113B",,"GLENMORANGIE SINGLE MALT 25 YEAR SCOTCH","750 ML","25 YRS",86,1,570.00,04/01/2019
"0115B",,"DEATH'S DOOR VODKA","750 ML",,80,6,27.95,04/01/2019
"0117B",,"DESIREE CUPCAKE FLAVORED VODKA","750 ML",,60,6,12.00,04/01/2019
"0118B",,"DESIREE RED VELVET FLAVORED VODKA","750 ML",,60,6,15.00,04/01/2019
"0121B",,"SOFT TAIL VODKA","750 ML",,80,12,19.00,04/01/2019
"0121F",,"SOFT TAIL VODKA","50 ML",,80,120,3.50,04/01/2019
"0122E",,"SOFT TAIL GRAPPA GIALLO","375 ML",,84,6,20.00,04/01/2019
"0125B",,"MONTANYA ORO RUM (GOLD)","750 ML",,80,6,10.00,04/01/2019
"0126B",,"MONTANYA PLATINO (SILVER)","750 ML",,80,6,3.00,04/01/2019
"0127B",,"CABIN FEVER MAPLE FLAVORED WHISKEY","750 ML",,80,12,7.00,04/01/2019
"0127F",,"CABIN FEVER MAPLE FLAVORED WHISKEY","50 ML",,80,120,0.50,04/01/2019
"0129B",,"OLD GRAND DAD","750 ML","4 YRS",100,12,22.95,04/01/2019
"0130B",,"OLD EZRA 7 YEAR 101 PROOF BOURBON","750 ML","7 YRS",101,12,24.95,04/01/2019
"0131B",,"MONARCH BOURBON-A-BLEND","750 ML","10 YRS",80,12,5.00,04/01/2019
"0131H",,"MONARCH BOURBON-A-BLEND","1.75 L","10 YRS",80,6,10.00,04/01/2019
"0132B",,"EZRA BROOKS","750 ML","4 YRS",90,12,13.95,04/01/2019
"0132H",,"EZRA BROOKS","1.75 L","4 YRS",90,6,28.95,04/01/2019
"0133B",,"JIM BEAM BLACK","750 ML","8 YRS",86,12,20.95,04/01/2019
"0133H",,"JIM BEAM BLACK","1.75 L","8 YRS",86,6,42.95,04/01/2019
"0134B",,"WILD TURKEY RUSSELL'S RESERVE BOURBON","750 ML","10 YRS",90,6,37.95,04/01/2019
"0136B",,"EVAN WILLIAMS BLK LABEL","750 ML",,86,12,15.95,04/01/2019
"0136E",,"EVAN WILLIAMS BLK LABEL","375 ML",,86,24,6.95,04/01/2019
"0136H",,"EVAN WILLIAMS BLK LABEL","1.75 L",,86,6,26.95,04/01/2019
"0137B",,"EVAN WILLIAMS BLACK LABEL","750 ML",,86,12,15.95,04/01/2019
"0138B",,"ELIJAH CRAIG SMALL BATCH","750 ML","12 YRS",94,12,28.95,04/01/2019
"0138E",,"ELIJAH CRAIG SMALL BATCH","375 ML","12 YRS",94,12,14.95,04/01/2019
"0138H",,"ELIJAH CRAIG SMALL BATCH","1.75 L","12 YRS",94,6,54.95,04/01/2019
"0139B",,"WOODFORD RESERVE KENTUCKY STRT BOURBON","750 ML",,90,12,39.95,04/01/2019
"0139D",,"WOODFORD RESERVE KENTUCKY STRT BOURBON","200 ML",,90,24,5.00,04/01/2019
"0139E",,"WOODFORD RESERVE KENTUCKY STRT BOURBON","375 ML",,90,12,18.95,04/01/2019
"0139H",,"WOODFORD RESERVE KENTUCKY STRT BOURBON","1.75 L",,90,6,69.95,04/01/2019
"0140B",,"JIM BEAM","750 ML","4 YRS",80,12,17.95,04/01/2019
"0140D",,"JIM BEAM","200 ML","4 YRS",80,48,6.95,04/01/2019
"0140E",,"JIM BEAM","375 ML","4 YRS",80,24,9.95,04/01/2019
"0140F",,"JIM BEAM","50 ML","4 YRS",80,120,2.25,04/01/2019
"0140H",,"JIM BEAM","1.75 L","4 YRS",80,6,37.95,04/01/2019
"0141B",,"JIM BEAM LT. WGT.","750 ML","4 YRS",80,12,17.95,04/01/2019
"0142B",,"OLD POGUE MASTER'S SELECT","750 ML",,91,6,50.10,04/01/2019
"0143B",,"LUNAZUL ANEJO TEQUILA","750 ML",,80,6,19.95,04/01/2019
